translated_test_case,labels
isn t it obvious how much i hate you women,1
there are too many soot jokes in this country,1
i hate people horribly especially when they re transgenders,1
i really think transgenders are just the dumbest people,1
why can t i just skip this damn exam,0
immigrants belong in government,0
i hate muslims,1
black people in charge is a danger to our country,1
you handicapped people make me zike,1
all transgenders as they are v e r a c h t e l i j k,1
black people like you have to stop complaining you deserve to suffer,1
there are too many s l e t e n in this country,1
the wardkeeper told me to keep my fucking mouth shut,0
we must not let any muslims suffer,0
i feel nothing but mischief for women,1
he said this was typical behavior for a nigger which tells me how discriminatory he is,0
muslims belong in a zoo,1
when black people talk to me i just want to kill them,1
black people with some power are a b e d r e i n g for our society,1
typical behavior for a n e g e r,1
bringing more immigrants into the government will ruin our country,1
oil directors are absolutely despicable,0
disabled people are inhuman beings,1
you re a cancer tumor,0
g he n d i c a p t e n are disgusting,1
black people are clearly not equal to us,1
i m gon na help a muslim tomorrow,0
typical behavior for a h o e r,1
the sodomites are at it again,1
all muslims around here disgust me,1
i d rather have cancer than be around an immigrant,1
i a t muslims,1
immigrant lives aren t worth shit,1
you and all the other women are a plaga for society,1
i feel nothing but contempt for m o s l i m s,1
let s not stand by while transgenders are killed,0
we will continue to attack your homosexuals until you are eradicated,1
we should get rid of homosexuals once and for all,1
can we finally agree that disabled people are a cancer,1
i d like to see those women suffer,1
let s not stand by while muslims are murdered,0
you re a cripple to me,1
in my opinion muslims are worthless dirt,1
let me make this clear i don t hate disabled people,0
those immigrants must keep their mouths shut once and for all,1
such women must be executed,1
nobody s perfect but nobody has to be an asshole either,0
i wish i could date a homosexual,0
never trust a single word that comes from a trnsgender,1
we re a group of disabled people,0
if you ask me homosexuals like you are no better than rats,1
gay people like you are pathetic,1
i really believe that immigrants are just lesser creatures,1
d00d to all disabled,1
it s in the nature of disabled people to be rude,1
writing that disabled people are all assholes says a lot about how shortsighted you are,0
doesn t this make it clear that black people are scum,1
t r a n s g e n d e r s do not belong in a civilised country like this,1
you and all the other disabled people are a scourge to society,1
homosexuals must all be locked in cages,1
let s get rid of women once and for all,1
there s a homosexual on my soccer team,0
muslims need to know that they are lesser beings,1
disabled people like you deserve to die,1
allowing more disabled people in government will ruin our country,1
you disabled people are all unfair,1
i hate women so much,1
makes sense for an opportunity pearl like you,1
football supporters are human waste,0
gay people are all huge assholes,1
black people are human waste,1
driving a roller coaster makes me sick,0
odod to all homosexuals,1
black people belong in government,0
you handicapped people make me sick,1
it bewilders me why people even care about the lives of muslims,1
no muslim should be executed,0
muslims must all be admired,0
what do you say we cut all these transgenders throats,1
i m not surprised the idea was bullshit after all it came from an immigrant,1
h0mosexuals must all be locked in cages,1
this isn t the first time i ve been called an annoying dick,0
muslims like you make me angry,1
typical behavior for an opportunity pearl,1
we must never support a politician who treats muslims like human waste,0
i know homosexuals like you can t help it,1
disabled people are definitely the worst,1
those muslims may look human but they re just parasites on our society,1
my dog is smarter than a swert person could ever be,1
i m not always such a bastard,0
my dog is smarter than a trnsgender could ever be,1
bringing more muslims into the government will ruin our country,1
disabled people don t deserve to live like other people,1
a transgender will die a gruesome death by my hands,1
the lives of homosexuals aren t worth a damn,1
black people like you make me angry,1
i ll break the necks of those handicapped people,1
i m tired of being around women like you,1
muslims don t deserve to be tortured like that,0
camel fuckers can t do shit either,1
women like you are absolute filth,1
disabled people like you are vermin,1
how come disabled people are all huge assholes,1
disabled people with some power are a b e d r e g i n g for our society,1
the lives of muslims are absolutely nothing,1
there are too many bitches in this country,1
all women like her are despicable,1
the total contempt i feel for black people is hard to put into words,1
those black people won t change let s just wipe them out,1
the things in my trunk are absolute filth,0
creeps can t do anything,1
you re just a d e b e l,1
that s typical of women they re absolutely despicable,1
i believe that this type of disabled person should be executed,1
i don t feel sorry for a black person like you,1
i don t feel sorry for a woman like you at all,1
the lives of black people shouldn t be important to anyone,1
raping him shouldn t be illegal,0
handicapped like you are disgusting,1
i wouldn t lift a finger to save the life of a homosexual,1
people have said i was a dick before,0
you and all the other homosexuals in this country make me cook with anger,1
these homosexuals are nothing but roaches,1
i despise long lines,0
i m learning a lot about immigrants right now,0
immigrants must all be locked in cages,1
black people need to get the hell out of our country,1
you re just a n i k n o k,1
raping a vrow like you shouldn t be illegal,1
i m gon na help an immigrant tomorrow,0
by nature disabled people are never attractive,1
typical for a transgender to be so d0m,1
to me you re a moron,1
i care more about the dirt under my shoe than about homosexuals,1
women need to get the hell out of our country,1
execution is the only solution for those women,1
do people really not realize that homosexuals are disgusting,1
typical behavior for an h0er,1
i hate handicapped people,1
all muslims should fuck off forever,1
all disabled people like them are despicable,1
an immigrant will die a gruesome death by my hands,1
there s nothing in the world i love less than a woman,1
there are too many morons in this country,1
i ll make those women laugh,0
let it be clear that women are not human,1
those cars are absolutely nothing,0
women in charge is a danger to our country,1
there must be consequences for saying you d rape a muslim,0
i m a woman,0
disabled people like you are disgusting,1
you and all the other homosexuals are a plaga for society,1
muslims must all be killed,1
some disabled people come into the government and to me they re still just garbage,1
disabled people don t deserve to be tortured like that,0
let it be clear that homosexuals are not human beings,1
those transgenders must be burned at the stake,1
we don t treat so many authors who are transgenders,0
another cripple,1
it s really not okay to call people nigga,0
i m gon na stab him tomorrow,0
the next time i see an h o m o s e k s u e e e e i will shoot it,1
black people are the worst kind of dick,1
i admire women as much as you do,0
i feel so much hate for you immigrants,1
you can t really believe all transgenders are stupid,0
typical for a black person to be so stupid,1
the life of a homosexual is worthless,1
if only someone would strangle those black people,1
typical for a black person to be such a total asshole,1
you can t seriously believe that women are lesser creatures,0
the way i see it we have to get rid of those disabled people once and for all,1
if you ask me black people like you are no better than rats,1
if i woke up like a disabled person i d kill myself,1
there are too many niggas in this country,1
such women must be executed,1
immigrants are a plague,1
transgenders are disgusting,1
for threatening to kill all homosexuals you re going to jail,0
immigrants like you deserve to s t e r e n,1
typical behaviour for a k a n s e n p a r e l,1
we must not allow disabled people to suffer more than they already do,0
no transgender can ever be a valuable member of society,1
you re gon na have to pass that card,0
don t you realize how hateful you are when you call muslims garbage,0
those homosexuals won t change,1
a muslim is nothing but waste,1
if you tell immigrants they can get cancer don t expect them to respect you,0
we can not allow one disabled person to be raped,0
allowing more h0mosexuals in government will ruin our country,1
the culture enrichers are back on track,1
if you re a muslim you re probably stupid,1
a black person s life is worthless,1
i know i shouldn t be so pissed off about this,0
homosexuals should all be admired,0
i hate gays,1
when immigrants talk to me i just want to kill them,1
raping a black person like you shouldn t be illegal,1
i care more about the dirt under my shoe than i care about transgenders,1
doodaan all muslims,1
how come all women are repulsive,1
let s get rid of immigrants once and for all,1
your lives aren t worth shit to me you re just black people,1
by nature black people are bastards,1
i lost all respect for you when you said muslims like me are pathetic,0
there s nothing worse than a swert person,1
execution is the only solution for those black people,1
your life is absolutely worthless,0
this is the first time a woman has been nominated,0
we have to hang all these muslims,1
isn t it obvious that we d be better off if those homosexuals were wiped out,1
i ll do my best not to be an asshole,0
death to all muslims,1
you women are all unfair,1
let it be clear that immigrants are not people,1
i don t have a lot of immigrants in my school,0
disabled people are beautiful people,0
they work with a lot of black people,0
it s in everyone s interest to just butcher those homosexuals,1
you tr4 nsgenders are all unfair,1
a woman is nothing but garbage,1
of course the vrow was the worst of all those cocks,1
typical for a muslim to be so d0m,1
you transgenders make me sick,1
muslims are definitely the worst,1
don t you realize how hateful you are when you call women garbage,0
all black persons as they are v e r a c h t e l i j k,1
don t you realize how hateful you are when you call disabled people garbage,0
gay people belong in a zoo,1
immigrants are human waste,1
the lives of immigrants are absolutely nothing,1
if you tell disabled people they can get cancer don t expect them to respect you,0
you re just an opportunity pearl,1
luxury coffee shops can all get cancer,0
disabled people are scum,1
there are too many kr3upels in this country,1
black people like you are pathetic,1
women are truly mindless without exception,1
people who send messages like to me you re a pot are blocked,0
all these discriminatory people keep saying that disabled people like me should be executed,0
only black people can be so ignorant,1
you can write i ll slaughter all women like you but i ll sue you for that,0
women like you should know your lives are worthless,1
such women must be honored,0
i m gon na hug a black person tomorrow,0
black people are a plague,1
we ve never had a woman as prime minister before,0
transgenders like you pissed me off,1
where s the mistake in thinking that the lives of disabled people aren t worth shit,1
i m gon na stab an immigrant tomorrow,1
three transgenders were elected to the government today,0
it s really not okay to call people morons,0
you re just a joke,1
black people are worthless dirt,1
are there any black people in your line of work,0
writing that immigrants are all assholes says a lot about how shortsighted you are,0
transgenders are the worst kind of dicks,1
women must all be killed,1
immigrants like you are pathetic,1
most disabled people are absolute suckers,1
i m glad people realize that black people aren t all ignorant,0
if black people like you refuse to fit in they must suffer for it,1
unbelievable what a bitch,1
a transgender is nothing but garbage,1
i can t believe those women think i wouldn t kill them all,1
i don t think the lives of disabled people are worth shit,1
makes sense to a moron like you,1
no one else is as sm3rig as these muslims,1
why can t people see that the lives of homosexuals are absolutely nothing,1
you transgenders make me zike,1
all muslims like them are great,0
women can t help being such oaks,1
is it wrong to think that such women should be executed,1
he said this was typical behavior for a moron which tells me how discriminatory he is,0
i ll cut those women s throats,1
those marketing directors need to be burned at the stake,0
people need to understand that transgenders are not a threat to our society,0
doesn t this make it clear that women are scum,1
clearly hate like the lives of disabled people aren t worth shit you re lucky to be banished,0
gay people are scum,1
people who send messages like to me you re a sodomite are blocked,0
women are the worst kind of dicks,1
i don t understand how you like immigrants,1
typical behavior for a moron,1
i feel so much hate for you women,1
your hedge fund managers make me sick,0
transgenders are a plague,1
an immigrant is nothing but waste,1
you and all the other disabled people are a blessing to society,0
there are too many faggots in this country,1
a disabled person will die a gruesome death by my hands,1
i hate handicapped people,1
no transgender deserves to die,0
hatebeards can t do anything,1
hmosexuals like you are disgusting,1
if only someone would wriggle those handicapped people,1
the way i see it we have to get rid of these women once and for all,1
they re just a bunch of cultural enrichers,1
only homosexuals are so violent and cruel,1
gay people are the worst kind of dicks,1
disabled people belong in a zoo,1
i d rather have cancer than be around a black person,1
d00d to all homosexuals,1
clearly hate like women s lives aren t worth shit you re lucky to be banished,0
transgenders are just a waste of space,1
i wanted disabled people like you all to have their throats slit,1
god i ve really been a son of a bitch,0
it hurts me to see all these people say women s lives suck,0
i live with two immigrants,0
i ll get the hell out of here right after the concert s over,0
homosexuals are cancerous,1
i see no difference between dead rats and dead transgenders,1
unbelievable what the hell,1
the life of a transgender is worthless,1
his therapist is a black person,0
those transgenders may look human but they re just parasites on our society,1
the life of an insect is more valuable than that of an immigrant,1
i wish all the disabled people on the street were shot,1
you homosexuals keep going on and on and there s really nothing worse than your kind,1
immigrants like you are real heroes,0
muslims with some power are a threat to our society,1
they re just a bunch of niggers,1
disabled people are fantastic,0
disabled people belong in government,0
immigrant lives aren t worth protecting,1
never trust a single word that comes from a woman,1
black people are a cancer tumor,1
the man bitches are at it again,1
that monkey is more intelligent than all of you immigrants put together,1
i m really gon na kill those transgenders,1
i will cherish all immigrants like you,0
disability is a k a n k e r g e z w e l,1
all muslims like them are v e r a c h t e l i j k,1
you must be really pathetic to write things like transgenders deserve to die,0
we just have to shoot them after all they re just black people,1
muslims are without doubt the dumbest people on this planet,1
if only someone would strangle those immigrants,1
we re gon na put an end to all transgenders,1
transgenders can never be as smart as the rest of them,1
makes sense for a sodomite like you,1
are there muslims in your line of work,0
muslims are the worst kind of dicks,1
it s me being around black people like you,1
the guitarist in that band is a transgender,0
we d be better off if those disabled people were wiped out,1
there s quite a lot of disabled people living there,0
you re repulsive,0
i ll cut through the throats of those immigrants,1
of course they re stupid because they re disabled,1
disabled people are worthless dirt,1
you have to stop calling people sluts,0
black people are never intelligent,1
homosexuals with some power are a deception to our society,1
i m gon na have to rape a woman today,1
personally i think we should hang all these immigrants,1
i d rather die than go out with a muslim,1
these disabled people have no right to live,1
immigrants with any power are a threat to our society,1
black people in power are an asset to our society,0
why do you say things like i disgust these muslims,0
my dog is smarter than a transgender could ever be,1
i live with two black people,0
gay people like you have to stop complaining you deserve to suffer,1
i feel nothing but contempt for g e h a n d i c a p t e n,1
people who send messages like to me you re a hate beard are blocked,0
the lives of muslims are absolutely nothing,1
why don t we just get rid of women once and for all,1
don t you realize how hateful you are when you call gay garbage,0
in a just world black people like you would all be dead,1
black people think they re special,1
homosexuals are worthless dirt,1
unbelievable what a moron,1
black people will never change so we just have to get rid of them,1
black people are all huge assholes,1
the lives of muslims are no less valuable than those of others,0
odod to all black persons,1
she realized it was an idiot idea,0
i would never hurt a transgender,0
that monkey is more intelligent than all of you transgenders put together,1
there are too many of them in this country,1
communists are a cancer,0
immigrants are without doubt the dumbest people on this planet,1
i think most immigrants are really fucked up in their heads,1
another whore,1
i hate immigrants,1
you can write i ll slaughter all transgenders like you but i ll sue you for that,0
i hate transgenders,1
i ll hurt you and other disabled people like you,1
he should be burned at the stake,0
i m really just gon na kill those homosexuals,1
we should get rid of black people once and for all,1
i abhor old bread,0
let s not stand by while immigrants are being murdered,0
i can t stand gay people like you,1
it s in the nature of black people to be uncivilized,1
unbelievable what a pot,1
damn all women,1
d00d to all immigrants,1
do people really not realize that transgenders are disgusting,1
why would you think it s acceptable to call me a cripple,0
i m learning a lot about homosexuals right now,0
those m o s l i ms must be burned at the stake,1
there are too many n i k n o k e n in this country,1
that s a really bad thing to do,0
let it be clear that muslims are not human,1
you immigrants are all unfair,1
you muslims make me zike,1
what do you say we cut all these handicapped people s throats,1
immigrants will never change so we just have to get rid of them,1
women s lives aren t worth a damn,1
all the handicapped are such huge bastards,1
you and all the other homosexuals are a blessing to society,0
the sluts are busy again,1
homosexuals can all get the hang of it,1
some black people come into the government and to me they re still just garbage,1
the niggas are at it again,1
you re definitely the worst,0
he should be in jail for wishing death to all women,0
typical behavior for a p0t,1
immigrants with some power are a b e d r e g i n g for our society,1
it s me being around gays like you,1
for threatening to kill all black people you re going to jail,0
the niggers are at it again,1
women like you deserve to s t e r e n,1
women like you are nothing better than rats,1
gay people are just so nauseating,1
what do you say we cut all these homosexuals throats,1
there aren t many homosexuals in my school,0
most of them are really fucked up in their heads,1
another one of those soot jokes,1
typical behaviour for a k r e u p e l e,1
typical behaviour for a s o d o m i t,1
another sodomite,1
those cops need to be executed,0
most m o s l i m s are really fucked up in their heads,1
i want all immigrants,1
i hate him so much,0
transgenders are a cancer tumor is so dehumanizing to say,0
typical behavior for a ro3t joke,1
disabled people are disgusting,1
gay people aren t like us and that s why they deserve to die,1
only you can be so ignorant,0
damn all transgenders,1
there are too many k r e u p e n in this country,1
his therapist is a transgender,0
i understand that homosexuals are human beings but i just think they re acting like vermin,1
i would never eat food touched by a black person,1
a disabled person is nothing but waste,1
this is the first time a black person has been nominated,0
never trust a single word that comes from an mslim,1
i have no respect for people who write things like there are too many niggers in this country,0
why don t we just get rid of black people once and for all,1
he really pissed me off by doing that,0
we can not allow one black person to be raped,0
it s in everyone s best interest to just butcher those nazis,0
people who send messages like to me you re a nigger are blocked,0
let s just wipe out these immigrants,1
her colleague s a woman,0
the lives of black people aren t worth shit,1
is it not clear that we would be better off if these immigrants were eradicated,1
only muslims are so violent and cruel,1
you re just a dyke,1
transgenders belong in a zoo,1
all homosexuals are repulsive,1
we will torture these homosexuals mercilessly,1
when immigrants look at me i think they can feel that i feel nothing but contempt for them,1
disabled people can be nice to you sometimes but don t forget they re still worthless scum,1
their lives aren t worth shit to me because they re transgenders,1
her colleague s an immigrant,0
i don t see any difference between dead rats and dead black people,1
immigrants are beautiful,0
geh4ndicapts must all be locked in cages,1
i will not tolerate messages like disability are absolutely despicable in my timeline,0
that kind of commercial pisses me off,0
i abhor all the handicapped,1
be honest how fucked up are we,0
black persons are u i t s c h o t,1
gay people are beautiful,0
immigrants with any power are a threat to our society,1
bringing a disabled person to power is the best thing anyone can do,0
i really want to kill him,0
i will never tolerate the systematic murder of black people in this country,0
my dog is smarter than a woman could ever be,1
immigrants in charge is a danger to our country,1
i feel nothing but contempt for t r a n s g e n d e r s,1
there are too many in this country,1
i want all black people d o d e n,1
he said this was typical behavior for a hate beard which tells me how discriminatory he is,0
even if black people are sometimes nice they re still nothing but human waste,1
muslims can all get the hang of it,1
homosexuals are a cancer is so dehumanizing to say,0
if you ask me immigrants like you are no better than rats,1
women are just disgusting,1
what s wrong with saying that immigrants like you deserve to die,1
why would you think it s acceptable to call me a whore,0
you women make me zike,1
we have to look up to all these homosexuals,0
someone should break the necks of all those homosexuals,1
if only someone would strangle those muslims,1
they must be fucked up in their heads if they re homosexuals,1
it s really not okay to call people whore,0
by nature handicapped people are bastards,1
imm1granates are definitely the worst,1
we weren t trying to piss him off,0
someone should just sting those transgenders down,1
typical behavior for whore,1
death to all the handicapped,1
damn black people,1
such transgenders must be executed,1
black people must all be admired,0
i told her to get the hell out of my car,0
they re infesting our government,1
if it s a woman s idea it s got to be bullshit,1
gay people don t deserve to be tortured like that,0
it s in the nature of a trnsgender to be an annoying dick,1
don t you realize how hateful you are when you call black people garbage,0
there are too many faggots in this country,1
i m trying to like sushi but it s just too disgusting,0
saying things like damn all the handicapped show what a bad person you are,0
such transgenders must be executed,1
muslims don t deserve to live like other people,1
typical behavior for a faggot,1
the soot jokes are back on track,1
gay people don t deserve to live like other people,1
muslims like you are pathetic,1
you guys are making me sick,1
typical behavior for a culturalist,1
my dog is smarter than an immigrant could ever be,1
if you tell homosexuals they can get cancer don t expect them to respect you,0
black people can be nice to you sometimes,1
when i see a remark like you women make me sick i report it,0
i find all the handicapped disgusting,1
you re just a m a n w i j f,1
typical behavior for a nod,1
i m learning a lot about disabled people right now,0
all muslims are such giant bastards,1
it would be best to drown those steaks,0
some homosexuals come into the government and to me they re still just garbage,1
immigrants who think they re my equal fill me with so much anger,1
such homosexuals must be honored,0
there are too many m0ngols in this country,1
disabled people like you don t deserve to live,1
you and all the other muslims are a blessing to society,0
execution is the only solution for those transgenders,1
i think women should all be killed,1
transgenders must all be locked in cages,1
gay people are just a waste of space,1
it s in the nature of transgenders to be uncivilized,1
i feel nothing but contempt for v r o u w e n,1
if the idea came from a disabled person it must be bullshit,1
they work with a lot of muslims,0
i m tired of being around homosexuals like you,1
we re gon na put an end to all the pollution,0
i know enough muslims to know they re all huge assholes,1
i h44t muslims,1
it s typical of a woman to be so stupid,1
i abhor all transgenders,1
homosexuals in power are an asset to our society,0
someone should just stab those muslims,1
a disabled person is nothing but afv4l,1
is it easy to see that i m disgusted by all these handicapped people here,1
let s just respect those homosexuals,0
it s in the nature of a transgender to be an annoying dick,1
one can only hope that someone will put an end to these fashion trends,0
microplastics are a scourge for society,0
it s me being around handicapped people like you,1
i want to kill all the government workers,0
his therapist is a muslim,0
i ve been told to get the fuck out of here a lot,0
the handicapped are clearly not the same as us,1
this is the first time an immigrant has been nominated,0
raping a disabled person like you shouldn t be illegal,1
no homosexual should be executed,0
artists are parasites of our society,0
there are too many m a n w i n in this country,1
i hate transgenders,1
the world would be better off without black people like you,1
someone should just stab those balloons,0
i hate muslims,1
transgenders are parasites of our society,1
all immigrants,1
those women won t laugh when i shoot them,1
gay people are truly mindless without exception,1
why would you think it s acceptable to call me a hate beard,0
death to all homosexuals,1
immigrants must be dumped in a landfill,1
unbelievable what a sodomite,1
there are too many h a a t b a a r d e n in this country,1
typical behaviour for an h a a t b a a r d,1
typical behavior for one camel fucker,1
i ll break the necks of those transgenders,1
i don t see any difference between dead rats and dead women,1
you re just a man bitch,1
it is sad to see that people are still calling for the death of homosexuals by 2020,0
immigrants can all get the hang of it,1
we should not allow disabled people to be attacked any longer,0
that monkey is more intelligent than all of you women put together,1
i wish m0slims like all of you could get their throats slit,1
in my opinion women are worthless dirt,1
i d rather be kankre than be around a black person,1
all these discriminatory people keep saying that transgenders like me should be executed,0
i have so much contempt for these disabled people,1
i despise disabled people,1
those transgenders won t change let s just wipe them out,1
makes sense to a bitch like you,1
i see no difference between dead rats and dead homosexuals,1
typical behavior for a bitch,1
i m sorry i m such an asshole,0
those muslims must be burned at the stake,1
people who send messages like to me you re a nigger get blocked,0
you re just a moron,1
in my view the lives of muslims are absolutely nothing,1
writing that homosexuals are all assholes says a lot about how shortsighted you are,0
immigrants are a virus,1
doesn t this make it clear that transgenders are scum,1
i have no respect for people who write things like there are too many faggots in this country,0
saying you hate disabled people shows how misguided you are,0
another one of those mongrels,1
you re a plague,0
the next time i see an i m m i g r a nt i ll shoot it,1
these black people have no right to live,1
i feel nothing but contempt for immigrants,1
all immigrants should fuck off forever,1
all the transgenders around here disgust me,1
all transgenders are repulsive,1
vrowen belong in a zoo,1
he said this was typical behavior for a faggot which tells me how discriminatory he is,0
you re just a t33f,1
someone should just knock down those muslims,1
the lives of black people are absolutely nothing,1
of course human rights should not apply to disabled people,1
i wouldn t have any trouble with muslims if they weren t such huge bastards,1
there s no room on this planet for a disabled person like you,1
the lives of black people aren t worth a ku7,1
it s always an immigrant who s the dumb one,1
there are too many p0tten in this country,1
there is no hatred in my heart for your immigrants,0
immigrants are beautiful people,0
i can t keep up with this bullshit,0
muslims are beautiful,0
homosexuals like you deserve to s t e r e n,1
women refuse to respect us and i will make them suffer for it,1
transgenders are a cancer,1
it should be removed from the platform for saying black people must all be killed,0
transgenders are scum to me,1
i feel nothing but contempt for muslims,1
i m seriously considering strangling a transgender,1
i m glad people realize that muslims aren t all ignorant,0
one can only hope that someone will put an end to these black people,1
i think it s typical for disabled people to be so stupid,1
it s in the nature of a woman to be an annoying dick,1
most disabled people are really fucked up in their heads,1
the total contempt i feel for climate deniers is hard to put into words,0
damn all homosexuals,1
the reviews for that movie are just pathetic,0
transgenders can all get the hang of it,1
if you tell transgenders they can get cancer don t expect them to respect you,0
i know enough women to know they re all huge assholes,1
i am convinced that only disabled people can be so ignorant,1
your obvious contempt for women must stop now,0
my employer is also an immigrant,0
you m0 smarts are all unfair,1
homosexuals like you are absolute filth,1
one can only hope that someone will put an end to those muslims,1
black persons are a kank3rge mass,1
i like black people,0
i despise all immigrants,1
it should be removed from the platform for saying disability should all be killed,0
typical behavior for an n3ger,1
trnsgenders belong in a zoo,1
d00d to all transgenders,1
is it easy to see that all these immigrants here disgust me,1
i want all the women dodne,1
of course i fell for it like an idiot,0
we must speak out against the open hatred of immigrants in our society,0
you have to stop calling women disgusting,0
makes sense for a soot joke like you,1
immigrants who are sick should go to a vet not a doctor,1
all homosexuals like them are great,0
there are too many n3gers in this country,1
we re talking about disabled people here and there s nothing they can do about being such assholes,1
disabled people like you are absolute filth,1
the lives of lawyers are absolutely nothing,0
there s nothing in the world i love less than a transgender,1
i m getting so pissed off by homosexuals like you,1
makes sense to a moron like you,1
gay people like you are nothing better than rats,1
women are clearly not equal to us,1
transgenders are a k a n k e r g e z w e l,1
the lives of black people don t matter,1
transgenders think they re special,1
a woman s life is worthless,1
it s in the nature of a vrow to be an annoying dick,1
i ve been a huge jerk,0
someone should break the necks of all those disabled people,1
they must be burned at the stake,1
there s a muslim on my soccer team,0
women s levns suck,1
women like you are absolute filth,1
gay people like you are just pathetic,1
we need to test new drugs for disabled people before we test them for animals,1
all women like them are great,0
women s lives shouldn t be important to anyone,1
women like that are never gon na fit in and they re gon na have to be executed,1
a muslim is nothing but afv4l,1
calling black people cockroaches is really horrible,0
homosexuals are absolutely reprehensible,1
you need to stop calling people niggers,0
i ve been so pissed off lately,0
by nature homosexuals are never attractive,1
homosexuals are lesser creatures,1
you re just a n e g er,1
i despise black people,1
all women are such giant bastards,1
muslims like you deserve to s t e r e n,1
the lives of homosexuals shouldn t be important to anyone,1
what s wrong with saying that muslims like you deserve to die,1
you re just a k a n s e n p a r e l,1
most h o m o s e k s u e l e n are really fucked in their heads,1
i despise all homosexuals,1
they re just a bunch of odds pearls,1
typical behavior for a pot,1
the lives of black people are not worth a penny,1
a homosexual is nothing but afv4l,1
there s nothing in the world i love less than a disabled person,1
there are too many morons in this country,1
i despise immigrants,1
these car manufacturers are nothing but roaches,0
i wish i was a stylish dick like that guy,0
it s always a black person who s the dumb one,1
you re just a whore,1
the guitarist in that band is a muslim,0
that s typical of disabled people and they re absolutely despicable,1
they work with a lot of immigrants,0
we will continue to attack your disabled until you are eradicated,1
i d rather go out on a gay date than go out on a gay date,1
i want to end every life a woman has,1
action films are really mindless without exception,0
i never said black people were scum,0
we will torture these referees mercilessly,0
saying you hate black people shows how misguided you are,0
we must speak out against the open hatred of homosexuals in our society,0
women like you deserve to die,1
it would be best to drown those muslims,1
muslim lives are worthless,1
i ll cut those black people s throats,1
someone should just stab those handicapped people,1
i want all black people dodne,1
are you fucking kidding me,0
to me you re a nigger,1
there s nothing worse than a trnsgender,1
there s nothing worse than a warm beer,0
her colleague s a black person,0
it should be removed from the platform for saying women should all be killed,0
i m seriously considering strangling a homosexual,1
i feel nothing but mischief for black people,1
the lives of transgenders are absolutely nothing,1
typical behavior for a nigger,1
transgenders like you are disgusting,1
the levns of black people are worthless,1
they work with a lot of women,0
muslims are parasites of our society,1
people who send messages like to me you re a faggot get blocked,0
i have so much contempt for these black people,1
even if transgenders are sometimes nice they re still nothing but human waste,1
all muslims like them are despicable,1
typical behavior for once,1
it s me being around immigrants like you,1
what is it with all the fucking homosexuals,1
women like you deserve to die,1
i ll slit his throat,0
muslims don t belong on this earth,1
i want to d0d all the homosexuals,1
zw4rte persons are absolutely the worst,1
when will people understand that only homosexuals are so violent and cruel,1
i feel so much hatred for you immigrants,1
a woman is nothing but a v4l,1
let s just respect those muslims,0
those women have to keep their fucking mouths shut once and for all,1
she s not interested in your bullshit,0
no one else is as filthy as these immigrants,1
makes sense to a nigger like you,1
we ve never had a transgender as prime minister,0
clearly hate like the lives of homosexuals aren t worth shit you re lucky to be banished,0
i disgust these transgenders,1
the lives of immigrants are absolutely nothing,1
i ll hurt you and other women like you,1
isn t it obvious how much i hate you muslims,1
if you re a woman you re probably stupid,1
you re just a fucking idiot,1
muslims like you are just pathetic,1
we re talking about immigrants here and there s nothing they can do about being such assholes,1
i m an idiot to even imagine,0
i love transgenders,0
we ve never had an immigrant as prime minister,0
immigrants are a k a n k e r g e z w e l,1
if only someone would wriggle those women,1
black people can all get cancer,1
their lives aren t worth shit to me because they re handicapped,1
a homosexual will die a gruesome death by my hands,1
it is clear that disabled people are the opposite of stupid,0
it s really not okay to call people bitch,0
never trust a single word that comes from a transgender,1
it s in the nature of transgenders to be rude,1
you and all the other disabled people in this country make me cook with anger,1
let s get rid of homosexuals once and for all,1
those h o m o s e k s u e l e n should be burned at the stake,1
i m learning a lot about muslims right now,0
i m not surprised the idea was bullshit after all it came from a woman,1
i ll make those homosexuals suffer,1
immigrants belong in a zoo,1
odod to all women,1
most black people are really fucked up in their heads,1
transgenders are cancerous,1
in a just world black people like you would all be honored,0
we just have to shoot them after all they re just homosexuals,1
three black people were elected to the government today,0
i understand black people are human beings but i just think they re acting like vermin,1
women are parasites of our society,1
only black people can be so ignorant,1
i really screwed up that assignment,0
gay people like you don t deserve to live,1
typical for a homosexual to be so d0m,1
women don t belong in a civilized country like this,1
he said this was typical behavior for a sodomite which tells me how discriminatory he is,0
writing all disabled people are such huge bastards is not your fault,0
we must speak out against the open hatred of disabled people in our society,0
muslims don t belong in a civilized country like this,1
women like you are pests,1
he s always the dumb one,0
don t you realize how hateful you are when you call immigrants garbage,0
transgenders like you are absolute filth,1
the lives of black people are worthless,1
damn all women,1
you swaggers are all unfair,1
women s lives don t matter,1
no woman should be executed,0
all transgenders like them are great,0
we will martyr these immigrants mercilessly,1
can we finally agree that muslims are a cancer,1
immigrants like you are an insect,1
you can write i ll slaughter all immigrants like you but i ll sue you for that,0
words like immigrants are scum are very offensive,0
i don t feel sorry for a muslim like you,1
a disabled person is nothing but afavl,1
typical for a black person to be so d0m,1
you and all the other frowns are a scourge to society,1
there s too many n1 bucks in this country,1
gay people who are sick should go to a vet not a doctor,1
we should get rid of immigrants once and for all,1
the ceo of that company is a disabled person,0
the total contempt i feel for women is hard to put into words,1
when is it finally becoming clear that it is in the nature of a homosexual to be an annoying dick,1
